"지역명","규모구분","연도","월","분양가격(㎡)"
"서울","전체","2015","10","5841"
"서울","전용면적 60㎡이하","2015","10","5652"
"서울","전용면적 60㎡초과 85㎡이하","2015","10","5882"
"서울","전용면적 85㎡초과 102㎡이하","2015","10","5721"
"서울","전용면적 102㎡초과","2015","10","5879"
"인천","전체","2015","10","3163"
"인천","전용면적 60㎡이하","2015","10","3488"
"인천","전용면적 60㎡초과 85㎡이하","2015","10","3119"
"인천","전용면적 85㎡초과 102㎡이하","2015","10","3545"
"인천","전용면적 102㎡초과","2015","10","3408"
"경기","전체","2015","10","3138"
"경기","전용면적 60㎡이하","2015","10","3126"
"경기","전용면적 60㎡초과 85㎡이하","2015","10","3239"
"경기","전용면적 85㎡초과 102㎡이하","2015","10","3496"
"경기","전용면적 102㎡초과","2015","10","3680"
"부산","전체","2015","10","3112"
"부산","전용면적 60㎡이하","2015","10","2950"
"부산","전용면적 60㎡초과 85㎡이하","2015","10","2999"
"부산","전용면적 85㎡초과 102㎡이하","2015","10","2957"
"부산","전용면적 102㎡초과","2015","10","3500"
"대구","전체","2015","10","2682"
"대구","전용면적 60㎡이하","2015","10","2614"
"대구","전용면적 60㎡초과 85㎡이하","2015","10","2696"
"대구","전용면적 85㎡초과 102㎡이하","2015","10","2557"
"대구","전용면적 102㎡초과","2015","10","2598"
"광주","전체","2015","10","2420"
"광주","전용면적 60㎡이하","2015","10","2253"
"광주","전용면적 60㎡초과 85㎡이하","2015","10","2439"
"광주","전용면적 85㎡초과 102㎡이하","2015","10",""
"광주","전용면적 102㎡초과","2015","10",""
"대전","전체","2015","10","2454"
"대전","전용면적 60㎡이하","2015","10","2585"
"대전","전용면적 60㎡초과 85㎡이하","2015","10","2428"
"대전","전용면적 85㎡초과 102㎡이하","2015","10","2461"
"대전","전용면적 102㎡초과","2015","10",""
"울산","전체","2015","10","3053"
"울산","전용면적 60㎡이하","2015","10","2422"
"울산","전용면적 60㎡초과 85㎡이하","2015","10","3040"
"울산","전용면적 85㎡초과 102㎡이하","2015","10","2951"
"울산","전용면적 102㎡초과","2015","10","2690"
"세종","전체","2015","10","2642"
"세종","전용면적 60㎡이하","2015","10","2572"
"세종","전용면적 60㎡초과 85㎡이하","2015","10","2657"
"세종","전용면적 85㎡초과 102㎡이하","2015","10","2644"
